Name,Geburtsdatum,Geburtsort,Sterbedatum,Quelle,Sterbeort,Biografie,GND,Bild,,Biolex-Link
"ANDERSEN, Nicolai",8.8.1862,Schweirup,16.10.1919,1;1970,Apenrade,"ANDERSEN, Nicolai, geb. 8.8.1862 Schweirup, Ksp. Feldstedt, gest. 16.10.1919 Apenrade; ev. – Sprachforscher, Redakteur, Volksdichter.",,,,
"ANDRAE, Friedrich Wilh. Johannes (Hans) Alexander",10.10.1849,Ramelow,14.11.1926,2;1971,Kiel,"ANDRAE, Friedrich Wilh. Johannes (Hans) Alexander, geb. 10.10.1849 Ramelow, Prov. Pommern, gest. 14.11.1926 Kiel; ev. – Richter.",11630698X,,,
"ANDRESEN, Andreas Peter",1.3.1771,Flensburg,16.10.1832,2;1971,ebd.,"ANDRESEN, Andreas Peter, geb. 1.3.1771 Flensburg, gest. 16.10.1832 ebd.; ev. – Kaufmann, Bürgermeister.",1035680793,,,
"ANDRESEN, Andreas",14.11.1830,Loit,1.5.1871,8;1987,,"ANDRESEN, Andreas, geb. 14.11.1830 Loit, Kr. Schleswig-Flensburg, gest. 1.5.1871(nicht 1872) Leipzig; ev. – Kunsthistoriker.",116309865,,,
"ANDRESEN, Karl Gustav",1.6.1813,Uetersen,25.5.1891,2;1971,Bonn,"ANDRESEN, Karl Gustav, geb. 1.6.1813 Uetersen, gest. 25.5.1891 Bonn; ev. – a. o. Professor f. deutsche Sprache u. Literatur i. Bonn.",116309962,,,
"ANDRESEN, Martin",22.10.1787,auf Pellworm,15.1.1870,1;1970,Tönning,"ANDRESEN, Martin, geb. 22.10.1787 auf Pellworm, gest. 15.1.1870 Tönning; Bauer, Müller, Bauunternehmer, Deichgraf, Deichkommissar.",,,,
"ANDRESEN, Momme",17.10.1857,Risum (Nordfriesland),12.1.1951,9;1991,Königsteinhof,"ANDRESEN, Momme, geb. 17.10.1857 Risum (Nordfriesland), gest. 12.1.1951 Königsteinhof, Ksp. Dagebüll; ev. – Photochemiker.",11766152X,,,
"ANDRESEN, Stine Elise geb. Jürgens",,,13.5.1927,9;1991,(nicht 1929) ebd.,"ANDRESEN, Stine Elise geb. Jürgens, geb. 23.12. (nicht 11.) 1849 Boldixum (Insel Föhr), gest. 13.5.1927 (nicht 1929) ebd.; ev. – Lyrikerin.",11887912X,,,
"ANDRESEN, Wilhelm Ludwig (W. L)",16.5.1885,Kating b. Tönning,21.4.1983,8;1987,Husum,"ANDRESEN, Wilhelm Ludwig (W. L), geb. 16.5.1885 Kating b. Tönning, gest. 21.4.1983 Husum, begr. Kating; ev., seit 1909 Dissident. – Journalist, Minderheitenpolitiker aus Nordfriesland.",1050883136,,,
"ANDRESEN-BÖDEWADT, Ingeborg",30.1.1878,auf Haimoor/Simonsberg,17.6.1955,1;1970,Bremen,"ANDRESEN-BÖDEWADT, Ingeborg, geb. 30.1.1878 auf Haimoor/Simonsberg, Ksp. Witzwort, Krs. Eiderstedt; gest. 17.6.1955 Bremen; Lehrerin, Schriftstellerin, Dramatikerin (hd. und ndd.).",119125129,,,
